Date,Close
5/11/2018,47.46
5/14/2018,47.04
5/15/2018,46.52
5/16/2018,46.61
5/17/2018,46.69
5/18/2018,46.12
5/21/2018,46.41
5/22/2018,46.47
5/23/2018,47.09
5/24/2018,46.73
5/25/2018,47.42
5/29/2018,47.61
5/30/2018,48.13
5/31/2018,46.95
6/1/2018,47.32
6/4/2018,47.01
6/5/2018,46.76
6/6/2018,46.74
6/7/2018,47.4
6/8/2018,48.19
6/11/2018,48.85
6/12/2018,49.69
6/13/2018,49.63
6/14/2018,49.8
6/15/2018,50.26
6/18/2018,50.28
6/19/2018,51.44
6/20/2018,50.75
6/21/2018,50.69
6/22/2018,50.63
6/25/2018,51.57
6/26/2018,51.69
6/27/2018,52.28
6/28/2018,53.17
6/29/2018,53.16
7/2/2018,52.94
7/3/2018,53.28
7/5/2018,54.31
7/6/2018,54.66
7/9/2018,53.45
7/10/2018,54.47
7/11/2018,54.66
7/12/2018,54.93
7/13/2018,55.89
7/16/2018,54.87
7/17/2018,54.77
7/18/2018,53.79
7/19/2018,54.14
7/20/2018,54.98
7/23/2018,54.77
7/24/2018,54.67
7/25/2018,54.95
7/26/2018,55.31
7/27/2018,55.36
7/30/2018,55.29
7/31/2018,55.9
8/1/2018,55.15
8/2/2018,56.79
8/3/2018,57.17
8/6/2018,57.46
8/7/2018,56.47
8/8/2018,55.94
8/9/2018,55.57
8/10/2018,55.74
8/13/2018,55.89
8/14/2018,55.45
8/15/2018,56.06
8/16/2018,56.85
8/17/2018,57.15
8/20/2018,57.63
8/21/2018,56.79
8/22/2018,56.36
8/23/2018,56.52
8/24/2018,56.33
8/27/2018,56.2
8/28/2018,56.45
8/29/2018,56.5
8/30/2018,56.38
8/31/2018,56.58
9/4/2018,56.48
9/5/2018,57.7
9/6/2018,58.12
9/7/2018,58.69
9/10/2018,58.48
9/11/2018,59
9/12/2018,59.43
9/13/2018,59.45
9/14/2018,59.55
9/17/2018,59.8
9/18/2018,59.72
9/19/2018,58.99
9/20/2018,59.66
9/21/2018,60.04
9/24/2018,59.1
9/25/2018,59.01
9/26/2018,59.4
9/27/2018,58.89
9/28/2018,59.37
10/1/2018,59.55
10/2/2018,60.14
10/3/2018,59.09
10/4/2018,58.3
10/5/2018,59.19
10/8/2018,59.8
10/9/2018,59.42
10/10/2018,55.96
10/11/2018,54.87
10/12/2018,56.07
10/15/2018,57.05
10/16/2018,58.51
10/17/2018,58.51
10/18/2018,59.07
10/19/2018,60.33
10/22/2018,59.89
10/23/2018,59.46
10/24/2018,59.92
10/25/2018,59.28
10/26/2018,58.03
10/29/2018,58.88
10/30/2018,60.23
10/31/2018,59.37
11/1/2018,64.87
11/2/2018,66.06
11/5/2018,66.59
11/6/2018,67.88
11/7/2018,66.11
11/8/2018,64.43
11/9/2018,65.55
11/12/2018,66.01
11/13/2018,65.54
11/14/2018,65.48
11/15/2018,65.81
11/16/2018,65.4
11/19/2018,64.82
11/20/2018,64.42
11/21/2018,65.53
11/23/2018,65.94
11/26/2018,65.64
11/27/2018,66.21
11/28/2018,66.35
11/29/2018,65.96
11/30/2018,66.19
12/3/2018,66.41
12/4/2018,66.6
12/6/2018,66.72
12/7/2018,66.81
12/10/2018,66.58
12/11/2018,68.4
12/12/2018,67.84
12/13/2018,69.18
12/14/2018,68.73
12/17/2018,65.47
12/18/2018,65.52
12/19/2018,64.76
12/20/2018,64.66
12/21/2018,64.9
12/24/2018,62.66
12/26/2018,64.86
12/27/2018,65.71
12/28/2018,65.75
12/31/2018,65.76
1/2/2019,64.43
1/3/2019,64.29
1/4/2019,65.06
1/7/2019,65.88
1/8/2019,65.72
1/9/2019,65.82
1/10/2019,67.03
1/11/2019,67.15
1/14/2019,66.69
1/15/2019,67.38
1/16/2019,67.37
1/17/2019,67.39
1/18/2019,68.36
1/22/2019,66.24
1/23/2019,65.51
1/24/2019,64.3
1/25/2019,63.59
1/28/2019,63.62
1/29/2019,63.72
1/30/2019,63.2
1/31/2019,64.61
2/1/2019,64.67
2/4/2019,65.37
2/5/2019,60.46
2/6/2019,62.78
2/7/2019,62.58
2/8/2019,63.34
2/11/2019,64.18
2/12/2019,64.15
2/13/2019,64.82
2/14/2019,64.35
2/15/2019,64.69
2/19/2019,64.96
2/20/2019,64.94
2/21/2019,66.15
2/22/2019,66.28
2/25/2019,65.3
2/26/2019,65.6
2/27/2019,65.74
2/28/2019,65.8
3/1/2019,65.58
3/4/2019,65.89
3/5/2019,65.63
3/6/2019,65.36
3/7/2019,65.63
3/8/2019,65.65
3/11/2019,66.45
3/12/2019,66.4
3/13/2019,66.94
3/14/2019,66.93
3/15/2019,67.4
3/18/2019,66.86
3/19/2019,66.38
3/20/2019,65.82
3/21/2019,66.77
3/22/2019,67.1
3/25/2019,68.01
3/26/2019,68.77
3/27/2019,69.35
3/28/2019,71.95
3/29/2019,71.23
4/1/2019,71.97
4/2/2019,72.01
4/3/2019,72.14
4/4/2019,72.65
4/5/2019,72.31
4/8/2019,72.36
4/9/2019,73.01
4/10/2019,73.22
4/11/2019,73.7
4/12/2019,73.89
4/15/2019,73.77
4/16/2019,73.57
4/17/2019,73.65
4/18/2019,73.83
4/22/2019,73.75
4/23/2019,73.44
4/24/2019,73.28
4/25/2019,73.4
4/26/2019,74.12
4/29/2019,73.79
4/30/2019,74.95
5/1/2019,73.64
5/2/2019,74.66
5/3/2019,74.34
5/6/2019,73.85
5/7/2019,72.88
5/8/2019,73.18
