Date,Close
5/11/2018,55.23
5/14/2018,56.74
5/15/2018,55.64
5/16/2018,56.7
5/17/2018,56.95
5/18/2018,57.51
5/21/2018,57.71
5/22/2018,57.39
5/23/2018,58.82
5/24/2018,59.08
5/25/2018,59.96
5/29/2018,58.23
5/30/2018,58.39
5/31/2018,58.12
6/1/2018,58.61
6/4/2018,58.71
6/5/2018,58.98
6/6/2018,59.84
6/7/2018,60.64
6/8/2018,60.26
6/11/2018,59.93
6/12/2018,59.79
6/13/2018,59.22
6/14/2018,59.46
6/15/2018,59.86
6/18/2018,59.2
6/19/2018,58.7
6/20/2018,58.7
6/21/2018,58.75
6/22/2018,58.5
6/25/2018,57.05
6/26/2018,56.45
6/27/2018,55.17
6/28/2018,55.9
6/29/2018,56.12
7/2/2018,56.18
7/3/2018,55.33
7/5/2018,57.38
7/6/2018,57.84
7/9/2018,58.04
7/10/2018,58.37
7/11/2018,57.3
7/12/2018,58.32
7/13/2018,58.39
7/16/2018,58.35
7/17/2018,58.91
7/18/2018,58.76
7/19/2018,59.31
7/20/2018,58.61
7/23/2018,59.08
7/24/2018,58.85
7/25/2018,59.42
7/26/2018,63.58
7/27/2018,62.69
7/30/2018,62.04
7/31/2018,64.09
8/1/2018,64.35
8/2/2018,64.77
8/3/2018,65.4
8/6/2018,65.73
8/7/2018,65.44
8/8/2018,65.16
8/9/2018,65.08
8/10/2018,64.82
8/13/2018,64.84
8/14/2018,65.43
8/15/2018,65.68
8/16/2018,65.76
8/17/2018,66.06
8/20/2018,66.16
8/21/2018,66.55
8/22/2018,66.84
8/23/2018,66.86
8/24/2018,67.15
8/27/2018,67.34
8/28/2018,69.78
8/29/2018,69.2
8/30/2018,68.14
8/31/2018,68.71
9/4/2018,69.98
9/5/2018,70.89
9/6/2018,70.36
9/7/2018,70.38
9/10/2018,72.32
9/11/2018,72.51
9/12/2018,71.75
9/13/2018,74.61
9/14/2018,75.09
9/17/2018,73.24
9/18/2018,74.72
9/19/2018,74.06
9/20/2018,74.6
9/21/2018,73.7
9/24/2018,73.58
9/25/2018,72.74
9/26/2018,71.76
9/27/2018,71.71
9/28/2018,72.03
10/1/2018,72.6
10/2/2018,73.35
10/3/2018,72.64
10/4/2018,72.38
10/5/2018,71.21
10/8/2018,70.93
10/9/2018,70.13
10/10/2018,66.73
10/11/2018,64.29
10/12/2018,64.29
10/15/2018,64.17
10/16/2018,66.12
10/17/2018,66.1
10/18/2018,65.15
10/19/2018,65.36
10/22/2018,66.12
10/23/2018,66.38
10/24/2018,62.62
10/25/2018,63.2
10/26/2018,62.48
10/29/2018,62.17
10/30/2018,63.18
10/31/2018,62.89
11/1/2018,63.71
11/2/2018,63.33
11/5/2018,63.47
11/6/2018,63.63
11/7/2018,63.21
11/8/2018,58.05
11/9/2018,56.72
11/12/2018,54.49
11/13/2018,54.16
11/14/2018,53.94
11/15/2018,55.39
11/16/2018,55.88
11/19/2018,54.9
11/20/2018,54.92
11/21/2018,55.27
11/23/2018,55.25
11/26/2018,55.73
11/27/2018,55.57
11/28/2018,56.65
11/29/2018,58.11
11/30/2018,58.26
12/3/2018,59.14
12/4/2018,57.73
12/6/2018,57.11
12/7/2018,55.99
12/10/2018,57.24
12/11/2018,57.35
12/12/2018,57.72
12/13/2018,58.09
12/14/2018,57.62
12/17/2018,57
12/18/2018,57.78
12/19/2018,56.69
12/20/2018,56.37
12/21/2018,54.85
12/24/2018,53.65
12/26/2018,55.96
12/27/2018,56.09
12/28/2018,56.81
12/31/2018,56.91
1/2/2019,57.4
1/3/2019,55.7
1/4/2019,56.6
1/7/2019,56.44
1/8/2019,55.95
1/9/2019,56.61
1/10/2019,56.8
1/11/2019,57.5
1/14/2019,57.3
1/15/2019,55.73
1/16/2019,55.27
1/17/2019,54.77
1/18/2019,55.27
1/22/2019,54.29
1/23/2019,51.77
1/24/2019,50.81
1/25/2019,51.3
1/28/2019,50.64
1/29/2019,49.4
1/30/2019,50.17
1/31/2019,49.52
2/1/2019,49.61
2/4/2019,49.69
2/5/2019,50.73
2/6/2019,51.1
2/7/2019,50.55
2/8/2019,50.29
2/11/2019,50.83
2/12/2019,51.66
2/13/2019,51.59
2/14/2019,51.57
2/15/2019,51.98
2/19/2019,52.01
2/20/2019,52.45
2/21/2019,52.35
2/22/2019,53.12
2/25/2019,52.99
2/26/2019,53.03
2/27/2019,53.04
2/28/2019,53.39
3/1/2019,54.2
3/4/2019,53.78
3/5/2019,53.94
3/6/2019,54.8
3/7/2019,54.03
3/8/2019,53.53
3/11/2019,54.35
3/12/2019,54.84
3/13/2019,55.39
3/14/2019,55.4
3/15/2019,56.6
3/18/2019,56.83
3/19/2019,56.97
3/20/2019,57.16
3/21/2019,57.77
3/22/2019,56.82
3/25/2019,56.64
3/26/2019,58
3/27/2019,56.91
3/28/2019,56.55
3/29/2019,57.03
4/1/2019,57.81
4/2/2019,58.09
4/3/2019,57.68
4/4/2019,57.86
4/5/2019,57.99
4/8/2019,57.76
4/9/2019,57.44
4/10/2019,56.33
4/11/2019,55.9
4/12/2019,56.95
4/15/2019,57.18
4/16/2019,70.45
4/17/2019,79.08
4/18/2019,79.89
4/22/2019,81.97
4/23/2019,86.72
4/24/2019,86.83
4/25/2019,85.07
4/26/2019,86.64
4/29/2019,87.25
4/30/2019,86.13
5/1/2019,86.37
5/2/2019,87.14
5/3/2019,89.29
5/6/2019,88.25
5/7/2019,85.2
5/8/2019,84.54
